id,cards,game_state,query,expected_decision,expected_explanation,baseline_decision,baseline_explanation,baseline_raw
case_001,"['Mystical Space Typhoon', 'Royal Decree']","Player B activates ""Royal Decree"". Player A controls ""Mystical Space Typhoon"".","Can Player A chain ""Mystical Space Typhoon"" to the activation of ""Royal Decree""?",YES,A Quick-Play Spell can be chained to a Trap activation.,NO,"""Mystical Space Typhoon"" cannot be chained to the activation of ""Royal Decree"" because ""Royal Decree"" is a Quick-Play Spell Card that negates the activation of other cards. Once ""Royal Decree"" resolves, it negates the activation of ""Mystical Space Typhoon"" and no chain link is established for ""Mystical Space Typhoon"" to resolve.","
You are acting as a Yu-Gi-Oh! Judge.
Answer the ruling question based only on the game state and your internal knowledge.
Give a YES or NO answer and a short explanation.

### Game State
Player B activates ""Royal Decree"". Player A controls ""Mystical Space Typhoon"".

### Query
Can Player A chain ""Mystical Space Typhoon"" to the activation of ""Royal Decree""?

### Ruling Format
Decision: <YES/NO>
Explanation: <short explanation>

Decision: NO
Explanation: ""Mystical Space Typhoon"" cannot be chained to the activation of ""Royal Decree"" because ""Royal Decree"" is a Quick-Play Spell Card that negates the activation of other cards. Once ""Royal Decree"" resolves, it negates the activation of ""Mystical Space Typhoon"" and no chain link is established for ""Mystical Space Typhoon"" to resolve."
case_002,"['Skill Drain', 'Jinzo']","Player A controls a face-up ""Skill Drain"". Player B summons ""Jinzo"".","Does ""Jinzo"" negate ""Skill Drain""?",NO,"""Skill Drain"" is already active and negates Jinzo's effect on summon.",NO,"""Jinzo"" is a monster card, and it does not have the ability to negate ""Skill Drain"". ""Skill Drain"" is a continuous spell card, and it negates the effects of all face-up monsters on the field.","
You are acting as a Yu-Gi-Oh! Judge.
Answer the ruling question based only on the game state and your internal knowledge.
Give a YES or NO answer and a short explanation.

### Game State
Player A controls a face-up ""Skill Drain"". Player B summons ""Jinzo"".

### Query
Does ""Jinzo"" negate ""Skill Drain""?

### Ruling Format
Decision: <YES/NO>
Explanation: <short explanation>

Decision: NO
Explanation: ""Jinzo"" is a monster card, and it does not have the ability to negate ""Skill Drain"". ""Skill Drain"" is a continuous spell card, and it negates the effects of all face-up monsters on the field."
case_003,"['Geomathmech Final Sigma', 'Gameciel, the Sea Turtle Kaiju']","Player A controls ""Geomathmech Final Sigma"" in the Extra Monster Zone. Player B have ""Gameciel, the Sea Turtle Kaiju"" in their hand.","Can ""Geomathmech Final Sigma"" be Tributed for the special summon of ""Gameciel, the Sea Turtle Kaiju""?",YES,"""Geomathmech Final Sigma"" can be tributed as cost to activate an effect, like the special summon of ""Gameciel, the Sea Turtle Kaiju""",NO,"""Geomathmech Final Sigma"" is a Fusion Monster and cannot be Tributed for the Special Summon of another monster. ""Gameciel, the Sea Turtle Kaiju"" is a Kaiju-Type monster and can be Special Summoned by Tributing a monster, but not ""Geomathmech Final Sigma"".","
You are acting as a Yu-Gi-Oh! Judge.
Answer the ruling question based only on the game state and your internal knowledge.
Give a YES or NO answer and a short explanation.

### Game State
Player A controls ""Geomathmech Final Sigma"" in the Extra Monster Zone. Player B have ""Gameciel, the Sea Turtle Kaiju"" in their hand.

### Query
Can ""Geomathmech Final Sigma"" be Tributed for the special summon of ""Gameciel, the Sea Turtle Kaiju""?

### Ruling Format
Decision: <YES/NO>
Explanation: <short explanation>

Decision: NO
Explanation: ""Geomathmech Final Sigma"" is a Fusion Monster and cannot be Tributed for the Special Summon of another monster. ""Gameciel, the Sea Turtle Kaiju"" is a Kaiju-Type monster and can be Special Summoned by Tributing a monster, but not ""Geomathmech Final Sigma""."
case_004,"['Geomathmech Final Sigma', 'The Monarchs Stormforth']","Player A controls ""Geomathmech Final Sigma"" in the Extra Monster Zone. Player B activates ""The Monarchs Stormforth"".","Can ""Geomathmech Final Sigma"" be Tributed by the effect of ""The Monarchs Stormforth""?",NO,"""Geomathmech Final Sigma"" can not be tributed by the effect of cards, except ""Mathmech"" cards, while in the Extra Monster Zone.",NO,"""The Monarchs Stormforth"" is a Spell Card that allows the player to Tribute one monster to Special Summon a Monarch monster from their Deck. It does not target ""Geomathmech Final Sigma"" or specify it in any way, so it cannot be used to Tribute that monster. Additionally, ""Geomathmech Final Sigma"" is in the Extra Monster Zone, which is not a Zone where monsters can be Tributed from.","
You are acting as a Yu-Gi-Oh! Judge.
Answer the ruling question based only on the game state and your internal knowledge.
Give a YES or NO answer and a short explanation.

### Game State
Player A controls ""Geomathmech Final Sigma"" in the Extra Monster Zone. Player B activates ""The Monarchs Stormforth"".

### Query
Can ""Geomathmech Final Sigma"" be Tributed by the effect of ""The Monarchs Stormforth""?

### Ruling Format
Decision: <YES/NO>
Explanation: <short explanation>

Decision: NO
Explanation: ""The Monarchs Stormforth"" is a Spell Card that allows the player to Tribute one monster to Special Summon a Monarch monster from their Deck. It does not target ""Geomathmech Final Sigma"" or specify it in any way, so it cannot be used to Tribute that monster. Additionally, ""Geomathmech Final Sigma"" is in the Extra Monster Zone, which is not a Zone where monsters can be Tributed from."
case_005,['Mathmech Sigma'],"Player A special summons ""Mathmech Sigma"" by its own effect and it is then used to summon an Xyz monster.","Is ""Mathmech Sigma"" still banished when it is detached as Xyz material?",NO,"Since ""Mathmech Sigma"" was used as material for an Xyz summon it is no longer treated as a card on the field, and is sent to the Graveyard.",NO,"When ""Mathmech Sigma"" is used as an Xyz Material Monster, it is not sent to the Graveyard, but instead remains face-up on the field as an Xyz Material. Once the Xyz Monster is destroyed or leaves the field, the Xyz Materials are no longer needed and are sent to the Graveyard. However, ""Mathmech Sigma"" was not sent to the Graveyard when it was detached, so it is still on the field.","
You are acting as a Yu-Gi-Oh! Judge.
Answer the ruling question based only on the game state and your internal knowledge.
Give a YES or NO answer and a short explanation.

### Game State
Player A special summons ""Mathmech Sigma"" by its own effect and it is then used to summon an Xyz monster.

### Query
Is ""Mathmech Sigma"" still banished when it is detached as Xyz material?

### Ruling Format
Decision: <YES/NO>
Explanation: <short explanation>

Decision: NO
Explanation: When ""Mathmech Sigma"" is used as an Xyz Material Monster, it is not sent to the Graveyard, but instead remains face-up on the field as an Xyz Material. Once the Xyz Monster is destroyed or leaves the field, the Xyz Materials are no longer needed and are sent to the Graveyard. However, ""Mathmech Sigma"" was not sent to the Graveyard when it was detached, so it is still on the field."
case_006,['Primathmech Laplacian'],"Player A Xyz summons ""Primathmech Laplacian"" and uses its trigger effect, detaching 3 materials.",Does the trigger effect of Primathmech Laplacian target?,NO,"No, it does not. Cards to be sent to the Graveyard are chosen at resolution.",NO,The trigger effect of Primathmech Laplacian does not target. It simply requires the detachment of three materials from the Xyz Monster to activate.,"
You are acting as a Yu-Gi-Oh! Judge.
Answer the ruling question based only on the game state and your internal knowledge.
Give a YES or NO answer and a short explanation.

### Game State
Player A Xyz summons ""Primathmech Laplacian"" and uses its trigger effect, detaching 3 materials.

### Query
Does the trigger effect of Primathmech Laplacian target?

### Ruling Format
Decision: <YES/NO>
Explanation: <short explanation>

Decision: NO
Explanation: The trigger effect of Primathmech Laplacian does not target. It simply requires the detachment of three materials from the Xyz Monster to activate."
case_007,"['Geomathmech Magma', 'Solemn Judgment']","Player A Synchro summons ""Geomathmech Magma"". Player B activates ""Solemn Judgment"" to negate the summon and destroys ""Geomathmech Magma"".","Can the search effect of ""Geomathmech Magma"" be activated?",YES,"""Geomathmech Magma"" says ""this card in its owner possession..."" so the search effect can be activated whenever ""Geomathmech Magma"" is destroyed, even if it was not properly summoned first.",NO,"The effect of ""Geomathmech Magma"" that searches for a ""Geomathmech"" card when it is Synchro Summoned can only be activated when the Synchro Summon is successful. Since Player B was able to negate the Synchro Summon with ""Solemn Judgment"", the effect was not activated and cannot be used.","
You are acting as a Yu-Gi-Oh! Judge.
Answer the ruling question based only on the game state and your internal knowledge.
Give a YES or NO answer and a short explanation.

### Game State
Player A Synchro summons ""Geomathmech Magma"". Player B activates ""Solemn Judgment"" to negate the summon and destroys ""Geomathmech Magma"".

### Query
Can the search effect of ""Geomathmech Magma"" be activated?

### Ruling Format
Decision: <YES/NO>
Explanation: <short explanation>

### Ruling
Decision: NO
Explanation: The effect of ""Geomathmech Magma"" that searches for a ""Geomathmech"" card when it is Synchro Summoned can only be activated when the Synchro Summon is successful. Since Player B was able to negate the Synchro Summon with ""Solemn Judgment"", the effect was not activated and cannot be used."
case_008,['Mathmech Induction'],"Player A controls a set ""Mathmech Induction"" and has declared an attack.","Can ""Mathmech Induction"" be activated during the Damage Step?",YES,"""Mathmech Induction"" can be activated at the Start of the Damage Step before performing Damage calculation",NO,"""Mathmech Induction"" is a Quick Effect, meaning it can only be activated when it is chain link 1 or 2 in a chain, or when no chains exist yet. During the Damage Step, there is already a chain (the attack chain) that started with the declaration of an attack, so ""Mathmech Induction"" cannot be activated during this phase.","
You are acting as a Yu-Gi-Oh! Judge.
Answer the ruling question based only on the game state and your internal knowledge.
Give a YES or NO answer and a short explanation.

### Game State
Player A controls a set ""Mathmech Induction"" and has declared an attack.

### Query
Can ""Mathmech Induction"" be activated during the Damage Step?

### Ruling Format
Decision: <YES/NO>
Explanation: <short explanation>

Decision: NO
Explanation: ""Mathmech Induction"" is a Quick Effect, meaning it can only be activated when it is chain link 1 or 2 in a chain, or when no chains exist yet. During the Damage Step, there is already a chain (the attack chain) that started with the declaration of an attack, so ""Mathmech Induction"" cannot be activated during this phase."
case_009,"['Mathmech Superfactorial', 'D.D. Crow']","Player A activates the second effect of ""Mathmech Superfactorial"", targeting 3 ""Mathmech"" monsters in the Graveyard to perform an Xyz summon. Player B chains ""D.D. Crow"", banishing one of the targets.","Will the effect of ""Mathmech Superfactorial"" resolve?",YES,"If one of the targeted monsters no longer exists in the Graveyard when resolving a ""Mathmech Superfactorial"" that was activated targeting three monsters, the two remaining monsters are Special Summoned. Then, if there is an Xyz Monster in your Extra Deck that can be Xyz Summoned using those two Special Summoned monsters, immediately after ""Mathmech Superfactorial"" resolves, Xyz Summon such a monster.",NO,"The effect of ""Mathmech Superfactorial"" requires the targeted monsters to remain in the Graveyard until the end of the turn. Since one of the targets was banished by ""D.D. Crow"", the effect cannot be completed and thus cannot resolve.","
You are acting as a Yu-Gi-Oh! Judge.
Answer the ruling question based only on the game state and your internal knowledge.
Give a YES or NO answer and a short explanation.

### Game State
Player A activates the second effect of ""Mathmech Superfactorial"", targeting 3 ""Mathmech"" monsters in the Graveyard to perform an Xyz summon. Player B chains ""D.D. Crow"", banishing one of the targets.

### Query
Will the effect of ""Mathmech Superfactorial"" resolve?

### Ruling Format
Decision: <YES/NO>
Explanation: <short explanation>

### Ruling
Decision: NO
Explanation: The effect of ""Mathmech Superfactorial"" requires the targeted monsters to remain in the Graveyard until the end of the turn. Since one of the targets was banished by ""D.D. Crow"", the effect cannot be completed and thus cannot resolve."
case_010,['Mathmech Superfactorial'],"Player A activates ""Mathmech Superfactorial"".","Can Player A target a ""Mathmech"" Xyz monster in the Graveyard and special summon it?",NO,"You must be able to resolve ""Mathmech Superfactorial"" at activation: since a Xyz monster does not have a level it can not be used for a Synchro or Xyz summon and thus it is not a legal target.",YES,"""Mathmech Superfactorial"" allows you to special summon a ""Mathmech"" Xyz monster from your Graveyard by paying half of its original Xyz Materials. Since Player A activated this card, they can target a ""Mathmech"" Xyz monster in their Graveyard and special summon it by paying half of its original Xyz Materials.","
You are acting as a Yu-Gi-Oh! Judge.
Answer the ruling question based only on the game state and your internal knowledge.
Give a YES or NO answer and a short explanation.

### Game State
Player A activates ""Mathmech Superfactorial"".

### Query
Can Player A target a ""Mathmech"" Xyz monster in the Graveyard and special summon it?

### Ruling Format
Decision: <YES/NO>
Explanation: <short explanation>

### Ruling
Decision: YES
Explanation: ""Mathmech Superfactorial"" allows you to special summon a ""Mathmech"" Xyz monster from your Graveyard by paying half of its original Xyz Materials. Since Player A activated this card, they can target a ""Mathmech"" Xyz monster in their Graveyard and special summon it by paying half of its original Xyz Materials."
