id,cards,game_state,query,expected_decision,expected_explanation,rag_decision,rag_explanation,rag_raw,rag_sections
case_001,"['Mystical Space Typhoon', 'Royal Decree']","Player B activates ""Royal Decree"". Player A controls ""Mystical Space Typhoon"".","Can Player A chain ""Mystical Space Typhoon"" to the activation of ""Royal Decree""?",YES,A Quick-Play Spell can be chained to a Trap activation.,NO,"""Mystical Space Typhoon"" is a Quick-Play Spell Card, which means it has Spell Speed 1. ""Royal Decree"" is a Continuous Trap Card, which means it has Spell Speed 2. Since ""Royal Decree"" has a higher Spell Speed than ""Mystical Space Typhoon"", it will always resolve before ""Mystical Space Typhoon"" can be activated, even if ""Mystical Space Typhoon"" is chained to it. Therefore, ""Mystical Space Typhoon"" cannot be chained to the activation of ""Royal Decree"".","You are acting as a Yu-Gi-Oh! Judge.
Answer the ruling question based only on the game state, card text, context and your internal knowledge.
Give a YES or NO answer and a short explanation.

### Game State
Player B activates ""Royal Decree"". Player A controls ""Mystical Space Typhoon"".

### Query
Can Player A chain ""Mystical Space Typhoon"" to the activation of ""Royal Decree""?

### Card Text
Mystical Space Typhoon:
  Card Type: Spell Card
  Sub-Type: Quick-Play
  Text: Target 1 Spell/Trap on the field; destroy that target.

Royal Decree:
  Card Type: Trap Card
  Sub-Type: Continuous
  Text: Negate all other Trap effects on the field.

### Rulebook Context
[Section: 13. Chains and Spell Speed]
and Player B responds by activating their Set “Threatening Roar.” Then, Player A responds to that by activating “Seven Tools of the Bandit.” In this case, Chain Links are stacked up as following. • Chain Link 3 “Seven Tools of the Bandit” Negates the effect of “Threatening Roar” Spell Speed 3 • Chain Link 2 “Threatening Roar” Prevents the opponent from declaring attacks this turn. Spell Speed 2 • Chain Link 1 “Heavy Storm” Destroys all Spell and Trap Cards on the ﬁeld. Spell Speed 1 ”Seven Tools of the Bandit” (Chain Link 3) is resolved ﬁrst and negates the activation of “Threatening Roar.” “Threatening Roar” (Chain Link 2) would then be resolved, but the effect of “Seven Tools of the Bandit” stops its activation. The turn player will still be able to declare attacks. Then the effect of “Heavy Storm” (Chain Link 1) is resolved successfully, destroying all Spell and Trap Cards on the ﬁeld, allowing the turn player to attack without interference from Spell or Trap Cards. TURN PLAYER’S PRIORITY: The turn player always starts with Priority, or the choice to activate a card first, in each phase or step of their turn. As long as the turn player has Priority, the opponent cannot activate cards or effects, except for effects that activate automatically, like Trigger or Flip effects. The turn player can either: • Use Priority to play a card or activate an effect OR • Pass Priority to the opponent so they can activate an effect. A player must pass Priority to the opponent when moving on to the next phase or step. Strictly speaking, you would always declare that you’re passing Priority before the end of every phase and step, and ask your opponent if they wish to play a card. However, for ease of

### Ruling Format
Decision: <YES/NO>
Explanation: <short explanation>

### Ruling
Decision: NO
Explanation: ""Mystical Space Typhoon"" is a Quick-Play Spell Card, which means it has Spell Speed 1. ""Royal Decree"" is a Continuous Trap Card, which means it has Spell Speed 2. Since ""Royal Decree"" has a higher Spell Speed than ""Mystical Space Typhoon"", it will always resolve before ""Mystical Space Typhoon"" can be activated, even if ""Mystical Space Typhoon"" is chained to it. Therefore, ""Mystical Space Typhoon"" cannot be chained to the activation of ""Royal Decree"".",['13. Chains and Spell Speed']
case_002,"['Skill Drain', 'Jinzo']","Player A controls a face-up ""Skill Drain"". Player B summons ""Jinzo"".","Does ""Jinzo"" negate ""Skill Drain""?",NO,"""Skill Drain"" is already active and negates Jinzo's effect on summon.",NO,"""Jinzo"" does not negate ""Skill Drain"" because ""Skill Drain"" is a Trap Card, and ""Jinzo"" only negates the effects of Trap Cards on the field, not the Trap Cards themselves. ""Skill Drain"" is still a face-up Trap Card on the field, and its effect is still negated by ""Jinzo"", but the effect of ""Skill Drain"" cannot be activated to negate the effects of other monsters.","You are acting as a Yu-Gi-Oh! Judge.
Answer the ruling question based only on the game state, card text, context and your internal knowledge.
Give a YES or NO answer and a short explanation.

### Game State
Player A controls a face-up ""Skill Drain"". Player B summons ""Jinzo"".

### Query
Does ""Jinzo"" negate ""Skill Drain""?

### Card Text
Skill Drain:
  Card Type: Trap Card
  Sub-Type: Continuous
  Text: Activate by paying 1000 LP. Negate the effects of all face-up monsters while they are face-up on the field (but their effects can still be activated).

Jinzo:
  Card Type: Effect Monster
  Sub-Type: Machine
  Text: Trap Cards, and their effects on the field, cannot be activated. Negate all Trap effects on the field.

### Rulebook Context
[Section: 14. Other Rules]
an Xyz Monster is ﬂipped face-down, or becomes controlled by the opponent, the Xyz Materials are not sent to the Graveyard. They remain attached to the Xyz Monster. • Leaves the Field Some monsters have effects that activate when they “leave the ﬁeld”. For example, these effects activate when the monster is sent to the Graveyard, or is banished, or is returned to the hand or Extra Deck. When a monster on the ﬁeld is shufﬂed into the Deck, or becomes an Xyz Material, it is no longer a card on the ﬁeld, however its effects that activate when it “leaves the ﬁeld” will not activate. • Restrictions The restriction of “you cannot Normal or Special Summon the turn you activate this card” only refers to monsters that were successfully summoned. Same for “you can only Special Summon X once per turn” restrictions. • Trap Monsters Trap Monsters that say “This card is also still a Trap.” do not occupy both a Monster Zone and a Spell & Trap Zone. They are only in the Monster Zone (where the card actually is) and do not take up a Spell & Trap Zone.

### Ruling Format
Decision: <YES/NO>
Explanation: <short explanation>

### Ruling
Decision: NO
Explanation: ""Jinzo"" does not negate ""Skill Drain"" because ""Skill Drain"" is a Trap Card, and ""Jinzo"" only negates the effects of Trap Cards on the field, not the Trap Cards themselves. ""Skill Drain"" is still a face-up Trap Card on the field, and its effect is still negated by ""Jinzo"", but the effect of ""Skill Drain"" cannot be activated to negate the effects of other monsters.",['14. Other Rules']
case_003,"['Geomathmech Final Sigma', 'Gameciel, the Sea Turtle Kaiju']","Player A controls ""Geomathmech Final Sigma"" in the Extra Monster Zone. Player B have ""Gameciel, the Sea Turtle Kaiju"" in their hand.","Can ""Geomathmech Final Sigma"" be Tributed for the special summon of ""Gameciel, the Sea Turtle Kaiju""?",YES,"""Geomathmech Final Sigma"" can be tributed as cost to activate an effect, like the special summon of ""Gameciel, the Sea Turtle Kaiju""",NO,"""Geomathmech Final Sigma"" cannot be Tributed for the special summon of ""Gameciel, the Sea Turtle Kaiju"" because ""Geomathmech Final Sigma"" is a Synchro Monster and cannot be Tributed or Tribute Summoned. Only monsters that can be Tributed or Tribute Summoned can be used as Tributes.","You are acting as a Yu-Gi-Oh! Judge.
Answer the ruling question based only on the game state, card text, context and your internal knowledge.
Give a YES or NO answer and a short explanation.

### Game State
Player A controls ""Geomathmech Final Sigma"" in the Extra Monster Zone. Player B have ""Gameciel, the Sea Turtle Kaiju"" in their hand.

### Query
Can ""Geomathmech Final Sigma"" be Tributed for the special summon of ""Gameciel, the Sea Turtle Kaiju""?

### Card Text
Geomathmech Final Sigma:
  Card Type: Synchro Monster
  Sub-Type: Cyberse
  Text: 1 Tuner + 1+ non-Tuner monsters
Unaffected by card effects, except ""Mathmech"" cards, while in the Extra Monster Zone. If this card in the Extra Monster Zone battles an opponent's monster, any battle damage it inflicts to your opponent is doubled. If this card is destroyed by battle, or if this card in its owner's possession is destroyed by an opponent's card effect: You can add 1 ""Mathmech"" card from your Deck to your hand. You can only use this effect of ""Geomathmech Final Sigma"" once per turn.

Gameciel, the Sea Turtle Kaiju:
  Card Type: Effect Monster
  Sub-Type: Aqua
  Text: You can Special Summon this card (from your hand) to your opponent's field in Attack Position, by Tributing 1 monster they control. If your opponent controls a ""Kaiju"" monster, you can Special Summon this card (from your hand) in Attack Position. You can only control 1 ""Kaiju"" monster. When your opponent activates a card or effect, except ""Gameciel, the Sea Turtle Kaiju"" (Quick Effect): You can remove 2 Kaiju Counters from anywhere on the field; negate the activation, and if you do, banish that card.

### Rulebook Context
[Section: 8. Summoning Monster Cards]
face-down Defense Position, it is called a Tribute Set. A monster Tribute Set on the ﬁeld is NOT considered Summoned. Note: When a card explains a special method to Tribute Summon a monster, you can also Tribute Set the monster by the same method. You can do as many of these during a turn as you want: • Flip Summon You can change a face-down Defense Position monster into face-up Attack Position, without using a card effect. This is called a Flip Summon. When you Flip Summon, you cannot change the monster to face-up Defense Position, only to face-up Attack Position. A Monster Card cannot be Flip Summoned in the same turn that it was Set onto the ﬁeld. You cannot use most monsters’ effects until they are face-up. • Special Summon Some monsters can be played onto the ﬁeld without being Normal Summoned or Set. This is called a Special Summon. Pendulum Summons, Xyz Summons, Synchro Summons, Fusion Summons and Ritual Summons are all Special Summons. Some Effect Monsters also have speciﬁc conditions that allow you to Special Summon them. Unless otherwise speciﬁed, a Special Summoned monster is played onto the ﬁeld in your choice of face-up Attack Position or face-up Defense Position. • Special Summon with a Card’s Effect Monsters can also be Special Summoned onto the ﬁeld through the effect of another card. This is different from “Special Summon Monsters.” You cannot use a card effect to Special Summon those monsters from your hand, Deck, or the Graveyard unless it was properly Special Summoned ﬁrst. For example, if a Synchro Monster is sent from your Extra Deck to the Graveyard without being Synchro Summoned, you cannot use a Spell Card to Special Summon it from the Graveyard, because Synchro Monsters have to be properly Special Summoned ﬁrst,

### Ruling Format
Decision: <YES/NO>
Explanation: <short explanation>

### Ruling
Decision: NO
Explanation: ""Geomathmech Final Sigma"" cannot be Tributed for the special summon of ""Gameciel, the Sea Turtle Kaiju"" because ""Geomathmech Final Sigma"" is a Synchro Monster and cannot be Tributed or Tribute Summoned. Only monsters that can be Tributed or Tribute Summoned can be used as Tributes.",['8. Summoning Monster Cards']
case_004,"['Geomathmech Final Sigma', 'The Monarchs Stormforth']","Player A controls ""Geomathmech Final Sigma"" in the Extra Monster Zone. Player B activates ""The Monarchs Stormforth"".","Can ""Geomathmech Final Sigma"" be Tributed by the effect of ""The Monarchs Stormforth""?",NO,"""Geomathmech Final Sigma"" can not be tributed by the effect of cards, except ""Mathmech"" cards, while in the Extra Monster Zone.",NO,"""Geomathmech Final Sigma"" is a Synchro Monster and it is in the Extra Monster Zone. According to the rulebook context, a Synchro Monster in the Extra Monster Zone cannot be Special Summoned by another card's effect unless it was properly Special Summoned first. Since ""Geomathmech Final Sigma"" was not Special Summoned by a card effect or by using its own effect, it cannot be Tributed by the effect of ""The Monarchs Stormforth"".","You are acting as a Yu-Gi-Oh! Judge.
Answer the ruling question based only on the game state, card text, context and your internal knowledge.
Give a YES or NO answer and a short explanation.

### Game State
Player A controls ""Geomathmech Final Sigma"" in the Extra Monster Zone. Player B activates ""The Monarchs Stormforth"".

### Query
Can ""Geomathmech Final Sigma"" be Tributed by the effect of ""The Monarchs Stormforth""?

### Card Text
Geomathmech Final Sigma:
  Card Type: Synchro Monster
  Sub-Type: Cyberse
  Text: 1 Tuner + 1+ non-Tuner monsters
Unaffected by card effects, except ""Mathmech"" cards, while in the Extra Monster Zone. If this card in the Extra Monster Zone battles an opponent's monster, any battle damage it inflicts to your opponent is doubled. If this card is destroyed by battle, or if this card in its owner's possession is destroyed by an opponent's card effect: You can add 1 ""Mathmech"" card from your Deck to your hand. You can only use this effect of ""Geomathmech Final Sigma"" once per turn.

The Monarchs Stormforth:
  Card Type: Spell Card
  Sub-Type: Quick-Play
  Text: Once during this turn, if you would Tribute a monster for a Tribute Summon, you can Tribute 1 monster your opponent controls even though you do not control it. You can only activate 1 ""The Monarchs Stormforth"" per turn. During the turn you activate this card, you cannot Special Summon monsters from the Extra Deck.

### Rulebook Context
[Section: 8. Summoning Monster Cards]
Graveyard unless it was properly Special Summoned ﬁrst. For example, if a Synchro Monster is sent from your Extra Deck to the Graveyard without being Synchro Summoned, you cannot use a Spell Card to Special Summon it from the Graveyard, because Synchro Monsters have to be properly Special Summoned ﬁrst, before they can be Special Summoned by another card’s effect.

### Ruling Format
Decision: <YES/NO>
Explanation: <short explanation>

### Ruling
Decision: NO
Explanation: ""Geomathmech Final Sigma"" is a Synchro Monster and it is in the Extra Monster Zone. According to the rulebook context, a Synchro Monster in the Extra Monster Zone cannot be Special Summoned by another card's effect unless it was properly Special Summoned first. Since ""Geomathmech Final Sigma"" was not Special Summoned by a card effect or by using its own effect, it cannot be Tributed by the effect of ""The Monarchs Stormforth"".",['8. Summoning Monster Cards']
case_005,['Mathmech Sigma'],"Player A special summons ""Mathmech Sigma"" by its own effect and it is then used to summon an Xyz monster.","Is ""Mathmech Sigma"" still banished when it is detached as Xyz material?",NO,"Since ""Mathmech Sigma"" was used as material for an Xyz summon it is no longer treated as a card on the field, and is sent to the Graveyard.",NO,"When ""Mathmech Sigma"" is detached as Xyz material, it is no longer on the field and thus its effect that activates when it leaves the field will not activate. However, it is not banished, it remains attached as Xyz material.","You are acting as a Yu-Gi-Oh! Judge.
Answer the ruling question based only on the game state, card text, context and your internal knowledge.
Give a YES or NO answer and a short explanation.

### Game State
Player A special summons ""Mathmech Sigma"" by its own effect and it is then used to summon an Xyz monster.

### Query
Is ""Mathmech Sigma"" still banished when it is detached as Xyz material?

### Card Text
Mathmech Sigma:
  Card Type: Tuner Monster
  Sub-Type: Cyberse
  Text: If you control no monsters in the Extra Monster Zone, while this card is in your hand or GY: You can Special Summon this card, but banish it when it leaves the field, also you cannot Special Summon monsters from the Extra Deck for the rest of this turn, except Cyberse monsters. You can only use this effect of ""Mathmech Sigma"" once per turn. If this card you control is used as Synchro Material for a ""Mathmech"" monster, you can treat it as a non-Tuner.

### Rulebook Context
[Section: 14. Other Rules]
an Xyz Monster is ﬂipped face-down, or becomes controlled by the opponent, the Xyz Materials are not sent to the Graveyard. They remain attached to the Xyz Monster. • Leaves the Field Some monsters have effects that activate when they “leave the ﬁeld”. For example, these effects activate when the monster is sent to the Graveyard, or is banished, or is returned to the hand or Extra Deck. When a monster on the ﬁeld is shufﬂed into the Deck, or becomes an Xyz Material, it is no longer a card on the ﬁeld, however its effects that activate when it “leaves the ﬁeld” will not activate. • Restrictions The restriction of “you cannot Normal or Special Summon the turn you activate this card” only refers to monsters that were successfully summoned. Same for “you can only Special Summon X once per turn” restrictions. • Trap Monsters Trap Monsters that say “This card is also still a Trap.” do not occupy both a Monster Zone and a Spell & Trap Zone. They are only in the Monster Zone (where the card actually is) and do not take up a Spell & Trap Zone.

### Ruling Format
Decision: <YES/NO>
Explanation: <short explanation>

### Decision
Decision: NO
Explanation: When ""Mathmech Sigma"" is detached as Xyz material, it is no longer on the field and thus its effect that activates when it leaves the field will not activate. However, it is not banished, it remains attached as Xyz material.",['14. Other Rules']
case_006,['Primathmech Laplacian'],"Player A Xyz summons ""Primathmech Laplacian"" and uses its trigger effect, detaching 3 materials.",Does the trigger effect of Primathmech Laplacian target?,NO,"No, it does not. Cards to be sent to the Graveyard are chosen at resolution.",NO,"The trigger effect of Primathmech Laplacian does not target. It is an ability that the player can activate when certain conditions are met. The player chooses which effects to activate from the list provided, but no specific cards or zones are targeted.","You are acting as a Yu-Gi-Oh! Judge.
Answer the ruling question based only on the game state, card text, context and your internal knowledge.
Give a YES or NO answer and a short explanation.

### Game State
Player A Xyz summons ""Primathmech Laplacian"" and uses its trigger effect, detaching 3 materials.

### Query
Does the trigger effect of Primathmech Laplacian target?

### Card Text
Primathmech Laplacian:
  Card Type: XYZ Monster
  Sub-Type: Cyberse
  Text: 3 Level 4 monsters
If a ""Mathmech"" card(s) you control would be destroyed by card effect, you can detach 1 material from this card instead. If this card is Xyz Summoned: You can detach up to 3 materials from it, then choose that many effects (you cannot choose the same effect twice, and you resolve them in the listed order, skipping any that were not chosen);
● Send 1 random card from your opponent's hand to the GY. ● Send 1 monster your opponent controls to the GY. ● Send 1 Spell/Trap your opponent controls to the GY.
You can only use this effect of ""Primathmech Laplacian"" once per turn.

### Rulebook Context
[Section: 14. Other Rules]
an Xyz Monster is ﬂipped face-down, or becomes controlled by the opponent, the Xyz Materials are not sent to the Graveyard. They remain attached to the Xyz Monster. • Leaves the Field Some monsters have effects that activate when they “leave the ﬁeld”. For example, these effects activate when the monster is sent to the Graveyard, or is banished, or is returned to the hand or Extra Deck. When a monster on the ﬁeld is shufﬂed into the Deck, or becomes an Xyz Material, it is no longer a card on the ﬁeld, however its effects that activate when it “leaves the ﬁeld” will not activate. • Restrictions The restriction of “you cannot Normal or Special Summon the turn you activate this card” only refers to monsters that were successfully summoned. Same for “you can only Special Summon X once per turn” restrictions. • Trap Monsters Trap Monsters that say “This card is also still a Trap.” do not occupy both a Monster Zone and a Spell & Trap Zone. They are only in the Monster Zone (where the card actually is) and do not take up a Spell & Trap Zone.

### Ruling Format
Decision: <YES/NO>
Explanation: <short explanation>

### Ruling
Decision: NO
Explanation: The trigger effect of Primathmech Laplacian does not target. It is an ability that the player can activate when certain conditions are met. The player chooses which effects to activate from the list provided, but no specific cards or zones are targeted.",['14. Other Rules']
case_007,"['Geomathmech Magma', 'Solemn Judgment']","Player A Synchro summons ""Geomathmech Magma"". Player B activates ""Solemn Judgment"" to negate the summon and destroys ""Geomathmech Magma"".","Can the search effect of ""Geomathmech Magma"" be activated?",YES,"""Geomathmech Magma"" says ""this card in its owner possession..."" so the search effect can be activated whenever ""Geomathmech Magma"" is destroyed, even if it was not properly summoned first.",NO,"The effect of ""Geomathmech Magma"" that allows you to add a ""Mathmech"" card from your Deck to your hand can only be activated when ""Geomathmech Magma"" is destroyed by battle or by an opponent's card effect. Since ""Geomathmech Magma"" was negated and destroyed by ""Solemn Judgment"" before it could destroy a monster by battle, the effect cannot be activated.","You are acting as a Yu-Gi-Oh! Judge.
Answer the ruling question based only on the game state, card text, context and your internal knowledge.
Give a YES or NO answer and a short explanation.

### Game State
Player A Synchro summons ""Geomathmech Magma"". Player B activates ""Solemn Judgment"" to negate the summon and destroys ""Geomathmech Magma"".

### Query
Can the search effect of ""Geomathmech Magma"" be activated?

### Card Text
Geomathmech Magma:
  Card Type: Synchro Tuner Monster
  Sub-Type: Cyberse
  Text: 1 Tuner + 1+ non-Tuner monsters
When this card destroys a monster by battle: You can target up to 2 cards your opponent controls; destroy them. If this card is destroyed by battle, or if this card in its owner's possession is destroyed by an opponent's card effect: You can add 1 ""Mathmech"" Spell/Trap from your Deck to your hand. You can only use each effect of ""Geomathmech Magma"" once per turn.

Solemn Judgment:
  Card Type: Trap Card
  Sub-Type: Counter
  Text: When a monster(s) would be Summoned, OR a Spell/Trap Card is activated: Pay half your LP; negate the Summon or activation, and if you do, destroy that card.

### Rulebook Context
[Section: 15. Glossary]
reveal those cards to both players. Then, before you do anything else, apply the instructions from the card effect that excavated them. Cards that are being excavated are still treated as being in the Deck until sent elsewhere by the card instructions. • Original ATK (or DEF) The Original ATK (or DEF) is the number of ATK (or DEF) points printed on the Monster Card. This does not include an increase from an Equip Spell Card or other card effect. • Pay a Cost To pay a cost is an action required by a player in order to activate a card, an effect, or to Summon a monster. Tributing to Tribute Summon a Level 5 monster is an example of a cost. Other common costs are discarding, paying LP, or banishing cards. You have to pay any costs before you declare the activation of the card. Even if the activation of the card is negated, you cannot get a refund of the cost that you have paid. • Piercing Battle Damage Some monsters can inﬂict piercing battle damage when they attack a Defense Position monster. This means that you inﬂict damage to your opponent’s LP equal to the difference between the attacking monster’s ATK and the defending monster’s DEF. • Random When a card effect says to choose a card randomly, there is no ofﬁcial way of doing so, it is ﬁne as long as neither player has a way of knowing which card is being chosen. • Reveal When an effect says to reveal a card, you show it to both players. You may have to reveal a face-down card, a card from your hand, or from the top of your Deck. Revealing a card does not activate the card or its Flip effect. Normally, revealed cards are returned

### Ruling Format
Decision: <YES/NO>
Explanation: <short explanation>

### Ruling
Decision: NO
Explanation: The effect of ""Geomathmech Magma"" that allows you to add a ""Mathmech"" card from your Deck to your hand can only be activated when ""Geomathmech Magma"" is destroyed by battle or by an opponent's card effect. Since ""Geomathmech Magma"" was negated and destroyed by ""Solemn Judgment"" before it could destroy a monster by battle, the effect cannot be activated.",['15. Glossary']
case_008,['Mathmech Induction'],"Player A controls a set ""Mathmech Induction"" and has declared an attack.","Can ""Mathmech Induction"" be activated during the Damage Step?",YES,"""Mathmech Induction"" can be activated at the Start of the Damage Step before performing Damage calculation",NO,"Mathmech Induction is a Continuous Trap Card, and according to the rulebook context, Continuous Trap Cards cannot be activated during the Damage Step.","You are acting as a Yu-Gi-Oh! Judge.
Answer the ruling question based only on the game state, card text, context and your internal knowledge.
Give a YES or NO answer and a short explanation.

### Game State
Player A controls a set ""Mathmech Induction"" and has declared an attack.

### Query
Can ""Mathmech Induction"" be activated during the Damage Step?

### Card Text
Mathmech Induction:
  Card Type: Trap Card
  Sub-Type: Continuous
  Text: All Cyberse monsters you control gain 500 ATK. If you control a ""Mathmech"" monster: You can send this face-up card from the field to the GY, then target 1 card your opponent controls; destroy it. You can only use this effect of ""Mathmech Induction"" once per turn.

### Rulebook Context
[Section: 11. Turn Structure]
choose to attack with the same monster again, or choose to attack with a different monster, or choose not to attack at all. Note that if you attack with a different monster, the ﬁrst monster is still considered to have declared an attack, and it cannot attack again this turn. DAMAGE STEP RULES During the Damage Step, you can only activate Counter Trap Cards, or cards with effects that directly change a monster’s ATK or DEF. Also, these cards can only be activated up until the start of damage calculation. • Limitations on Activating Cards If you attack a face-down Defense Position monster, ﬂip the card to face-up Defense Position in the Damage Step. Now you can see the monster’s DEF and then calculate damage. • Attacking a Face-Down Card When an attacked monster is ﬂipped face-up, any Flip effects are activated and resolved after damage calculation. If you need to select a monster for the Flip effect to target, you cannot target a monster that has already been destroyed during damage calculation. • Activation of a Flip Effect During the Damage Step, there are limits on what cards you can activate. Also, during the Damage Step, Flip effects resolve a bit differently than they normally do. Main Phase 2: If you conducted your Battle Phase, your turn moves to Main Phase 2 afterwards. The actions a player can perform in this phase are the same as in Main Phase 1. However, if the player already did something in Main Phase 1 that has a limit to the number of times it can be done, the player cannot do it again in Main Phase 2. Consider if you want to activate and Set Spell & Trap Cards, or Summon or Set a monster (if you didn’t do that in Main

### Ruling Format
Decision: <YES/NO>
Explanation: <short explanation>

### Decision
Decision: NO
Explanation: Mathmech Induction is a Continuous Trap Card, and according to the rulebook context, Continuous Trap Cards cannot be activated during the Damage Step.",['11. Turn Structure']
case_009,"['Mathmech Superfactorial', 'D.D. Crow']","Player A activates the second effect of ""Mathmech Superfactorial"", targeting 3 ""Mathmech"" monsters in the Graveyard to perform an Xyz summon. Player B chains ""D.D. Crow"", banishing one of the targets.","Will the effect of ""Mathmech Superfactorial"" resolve?",YES,"If one of the targeted monsters no longer exists in the Graveyard when resolving a ""Mathmech Superfactorial"" that was activated targeting three monsters, the two remaining monsters are Special Summoned. Then, if there is an Xyz Monster in your Extra Deck that can be Xyz Summoned using those two Special Summoned monsters, immediately after ""Mathmech Superfactorial"" resolves, Xyz Summon such a monster.",YES,"The effect of ""Mathmech Superfactorial"" can still resolve even if one of the targets is banished by ""D.D. Crow"". The effect does not require all targeted monsters to remain on the field for the Xyz Summon to occur. The banished monster is no longer considered a card on the field, but the effect does not activate when a card leaves the field. Instead, the effect activates when the Xyz Summon is performed, which occurs immediately after the effect resolves. Therefore, the banished monster does not prevent the Xyz Summon from occurring.","You are acting as a Yu-Gi-Oh! Judge.
Answer the ruling question based only on the game state, card text, context and your internal knowledge.
Give a YES or NO answer and a short explanation.

### Game State
Player A activates the second effect of ""Mathmech Superfactorial"", targeting 3 ""Mathmech"" monsters in the Graveyard to perform an Xyz summon. Player B chains ""D.D. Crow"", banishing one of the targets.

### Query
Will the effect of ""Mathmech Superfactorial"" resolve?

### Card Text
Mathmech Superfactorial:
  Card Type: Trap Card
  Sub-Type: Normal
  Text: Target up to 3 ""Mathmech"" monsters in your GY with different names, then activate 1 of these effects;
● Special Summon them, but their effects are negated, then, immediately after this effect resolves, Synchro Summon 1 ""Mathmech"" Synchro Monster using only those monsters, and shuffle the materials into the Deck instead of sending them to the GY.
● Special Summon them, but their effects are negated, then, immediately after this effect resolves, Xyz Summon 1 ""Mathmech"" Xyz Monster using only those monsters.
You can only activate 1 ""Mathmech Superfactorial"" per turn.

D.D. Crow:
  Card Type: Effect Monster
  Sub-Type: Winged Beast
  Text: (Quick Effect): You can discard this card to the GY, then target 1 card in your opponent's GY; banish that target.

### Rulebook Context
[Section: 14. Other Rules]
an Xyz Monster is ﬂipped face-down, or becomes controlled by the opponent, the Xyz Materials are not sent to the Graveyard. They remain attached to the Xyz Monster. • Leaves the Field Some monsters have effects that activate when they “leave the ﬁeld”. For example, these effects activate when the monster is sent to the Graveyard, or is banished, or is returned to the hand or Extra Deck. When a monster on the ﬁeld is shufﬂed into the Deck, or becomes an Xyz Material, it is no longer a card on the ﬁeld, however its effects that activate when it “leaves the ﬁeld” will not activate. • Restrictions The restriction of “you cannot Normal or Special Summon the turn you activate this card” only refers to monsters that were successfully summoned. Same for “you can only Special Summon X once per turn” restrictions. • Trap Monsters Trap Monsters that say “This card is also still a Trap.” do not occupy both a Monster Zone and a Spell & Trap Zone. They are only in the Monster Zone (where the card actually is) and do not take up a Spell & Trap Zone.

### Ruling Format
Decision: <YES/NO>
Explanation: <short explanation>

### Ruling
Decision: Yes
Explanation: The effect of ""Mathmech Superfactorial"" can still resolve even if one of the targets is banished by ""D.D. Crow"". The effect does not require all targeted monsters to remain on the field for the Xyz Summon to occur. The banished monster is no longer considered a card on the field, but the effect does not activate when a card leaves the field. Instead, the effect activates when the Xyz Summon is performed, which occurs immediately after the effect resolves. Therefore, the banished monster does not prevent the Xyz Summon from occurring.",['14. Other Rules']
case_010,['Mathmech Superfactorial'],"Player A activates ""Mathmech Superfactorial"".","Can Player A target a ""Mathmech"" Xyz monster in the Graveyard and special summon it?",NO,"You must be able to resolve ""Mathmech Superfactorial"" at activation: since a Xyz monster does not have a level it can not be used for a Synchro or Xyz summon and thus it is not a legal target.",YES,"Player A can target a ""Mathmech"" Xyz monster in the Graveyard and special summon it using the effect of ""Mathmech Superfactorial"". However, the monster's effects will be negated immediately after its summon.","You are acting as a Yu-Gi-Oh! Judge.
Answer the ruling question based only on the game state, card text, context and your internal knowledge.
Give a YES or NO answer and a short explanation.

### Game State
Player A activates ""Mathmech Superfactorial"".

### Query
Can Player A target a ""Mathmech"" Xyz monster in the Graveyard and special summon it?

### Card Text
Mathmech Superfactorial:
  Card Type: Trap Card
  Sub-Type: Normal
  Text: Target up to 3 ""Mathmech"" monsters in your GY with different names, then activate 1 of these effects;
● Special Summon them, but their effects are negated, then, immediately after this effect resolves, Synchro Summon 1 ""Mathmech"" Synchro Monster using only those monsters, and shuffle the materials into the Deck instead of sending them to the GY.
● Special Summon them, but their effects are negated, then, immediately after this effect resolves, Xyz Summon 1 ""Mathmech"" Xyz Monster using only those monsters.
You can only activate 1 ""Mathmech Superfactorial"" per turn.

### Rulebook Context
[Section: 8. Summoning Monster Cards]
Graveyard unless it was properly Special Summoned ﬁrst. For example, if a Synchro Monster is sent from your Extra Deck to the Graveyard without being Synchro Summoned, you cannot use a Spell Card to Special Summon it from the Graveyard, because Synchro Monsters have to be properly Special Summoned ﬁrst, before they can be Special Summoned by another card’s effect.

### Ruling Format
Decision: <YES/NO>
Explanation: <short explanation>

### Ruling
Decision: YES
Explanation: Player A can target a ""Mathmech"" Xyz monster in the Graveyard and special summon it using the effect of ""Mathmech Superfactorial"". However, the monster's effects will be negated immediately after its summon.",['8. Summoning Monster Cards']
